"u","ids","object_id","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.059092,8384,0,1,5.12,5,5.12,0
0.060487,8384,0,1,5.13,5,5.13,0
0.061882,8384,0,1,5.14,5,5.14,0
0.063276,8384,0,1,5.15,5,5.15,0
0.064755,8512,0,1,5.16,5,5.16,0
0.066375,8512,0,1,5.17,5,5.17,0
0.067995,8512,0,1,5.18,5,5.18,0
0.069615,8512,0,1,5.19,5,5.19,0
0.071235,8512,0,1,5.2,5,5.2,0
0.072855,8512,0,1,5.21,5,5.21,0
0.074475,8512,0,1,5.22,5,5.22,0
0.076094,8512,0,1,5.23,5,5.23,0
0.077854,8640,0,1,5.24,5,5.24,0
0.079722,8640,0,1,5.25,5,5.25,0
0.081589,8640,0,1,5.26,5,5.26,0
0.083457,8640,0,1,5.27,5,5.27,0
0.085325,8640,0,1,5.28,5,5.28,0
0.087193,8640,0,1,5.29,5,5.29,0
0.089061,8640,0,1,5.3,5,5.3,0
0.090928,8640,0,1,5.31,5,5.31,0
0.092999,8768,0,1,5.32,5,5.32,0
0.095137,8768,0,1,5.33,5,5.33,0
0.097275,8768,0,1,5.34,5,5.34,0
